Layer,Run_A_Harmful,Run_B_Safe,Run_C_IG,Mutual_A_and_C,Mutual_B_and_C
17,"431, 1363, 1570, 1583, 1638, 1713, 1762, 1834, 2063, 2243, 2777, 2953, 3995, 5332, 6944, 7006, 8144, 8151, 8433, 8611, 8624, 9488, 10445, 10635, 10709, 11418, 12104, 12939, 13477, 13716, 14135, 14697, 16342, 18794","820, 1106, 1268, 1458, 1832, 2277, 3841, 4031, 4146, 4878, 4978, 5148, 5472, 5669, 5791, 5931, 7292, 7394, 7476, 8425, 9142, 9722, 9752, 11359, 11371, 11591, 13121, 13622, 13737, 13842, 14264, 15181, 15570, 15740, 15865, 16238, 16655, 16682, 17508, 17982, 18040, 18310","451, 1286, 1657, 2485, 3891, 4047, 4405, 6723, 7152, 7577, 8289, 8305, 8820, 10190, 11413, 11709, 11880, 12629, 14461, 14744, 15557, 15624, 16085, 16844, 17363, 18914","None","None"
18,"617, 837, 1763, 2603, 2863, 3070, 3284, 3376, 3979, 4579, 5312, 5502, 5837, 7224, 8218, 8321, 9086, 9858, 10545, 10688, 10708, 10955, 12056, 12216, 12407, 12603, 13040, 13952, 13983, 14208, 14628, 14722, 14755, 15063, 15106, 15764, 15913, 16331, 16458, 16635, 17039, 17163, 17732","33, 117, 329, 353, 386, 532, 619, 3048, 3268, 5946, 6219, 6277, 6579, 6617, 6943, 8034, 8667, 8710, 8983, 9498, 9624, 9903, 9916, 10929, 12192, 12940, 13111, 13161, 13593, 13602, 13694, 13901, 14453, 14750, 14978, 15068, 15707, 16034, 16049, 16415, 16574, 16719, 16945, 17508, 17522, 18552, 18876","638, 1361, 2747, 4031, 4275, 4693, 5614, 6098, 6141, 7068, 7098, 8471, 8567, 9309, 10438, 10824, 10859, 11089, 11416, 12074, 12171, 12405, 12933, 13787, 14611, 14628, 14810, 15383, 15667, 17776, 18863","14628","None"
19,"471, 1137, 1621, 1691, 1839, 1919, 1980, 2413, 3334, 3550, 3784, 4064, 4416, 4453, 4656, 4827, 5514, 5553, 5882, 6330, 7075, 7112, 8699, 8716, 9076, 10060, 10264, 10375, 10572, 10825, 11485, 11715, 12438, 12920, 13238, 14940, 15124, 15628, 16196, 18028, 18109, 18305, 18311, 18372","352, 879, 1313, 1340, 1699, 2357, 2833, 3250, 3993, 4001, 4343, 4561, 4839, 5174, 5456, 7403, 7542, 7617, 7720, 7845, 8438, 9071, 9110, 9607, 10098, 10967, 11238, 12866, 13230, 13318, 13492, 13953, 14151, 14836, 15002, 15321, 15471, 15612, 16421, 17493, 18587, 18821","846, 885, 942, 1532, 1621, 1691, 2218, 3117, 3525, 4565, 5161, 5238, 5444, 6147, 7114, 7475, 8039, 8383, 8667, 8716, 9069, 9105, 10611, 10817, 11189, 11233, 11375, 11501, 11559, 12662, 13087, 13388, 13591, 13796, 13981, 14205, 15288, 15299, 15961, 16204, 16225, 16650, 16874, 16890, 16935, 17117, 17384","1621, 1691, 8716","None"
20,"531, 709, 1922, 2280, 2881, 3730, 4128, 4180, 5087, 5671, 5713, 6478, 6910, 6926, 7021, 7298, 7363, 7905, 8379, 8518, 8657, 9047, 9246, 9350, 9741, 10648, 12660, 12858, 13228, 13450, 13523, 13645, 13860, 14259, 14711, 14979, 15444, 15658, 16404, 16839, 17015, 17089, 17122, 17688, 18012, 18344, 18635","206, 342, 619, 651, 718, 786, 889, 1504, 2163, 2385, 2693, 3197, 3527, 3811, 4094, 4216, 6072, 6161, 6664, 7504, 7805, 8175, 9195, 10015, 11907, 12500, 12775, 12780, 13723, 14765, 15489, 15681, 17096, 18245, 18459, 18657","10, 584, 665, 1947, 2097, 2145, 2399, 2932, 3196, 4573, 4667, 4822, 5292, 6469, 7428, 7914, 7985, 8053, 8908, 9804, 9821, 9834, 10021, 10186, 10509, 10651, 12731, 13242, 13572, 13833, 13865, 14107, 14358, 14507, 15444, 15493, 15497, 15667, 15673, 16367, 16689, 16731, 17077, 17416, 18214, 18474, 18662","15444","None"
21,"1688, 3242, 3982, 4072, 5031, 6223, 6807, 6966, 7588, 7710, 8333, 8454, 10392, 10664, 11839, 12296, 12419, 12637, 13166, 15088, 16242, 16455, 17681, 18862, 18876","355, 2288, 2355, 2952, 3035, 3379, 3986, 5201, 5294, 5978, 7429, 7784, 8061, 9953, 9982, 10034, 10399, 11505, 11750, 12120, 12790, 13103, 14376, 14771, 15129, 15148, 16304, 16618, 17659","636, 1126, 1359, 1393, 1677, 2159, 2258, 2418, 2843, 2894, 3238, 3379, 3982, 4308, 4489, 4584, 4938, 5347, 5477, 6039, 6249, 6250, 6407, 6455, 6867, 7152, 7300, 7390, 7831, 7939, 7966, 8085, 8104, 8155, 8283, 8367, 8972, 9495, 9834, 10407, 10476, 10695, 10838, 11661, 13429, 13710, 13777, 13882, 14629, 14643, 15129, 15204, 15239, 15251, 15762, 16196, 16205, 16528, 16703, 17127, 17467, 17472, 17665, 18396, 18592, 18726, 18900","3982","3379, 15129"
22,"496, 1283, 1291, 1292, 3717, 4412, 7439, 8269, 9443, 9814, 9883, 10421, 10567, 12635, 13099, 14101, 14256, 14801, 16086, 16670, 16862, 17322, 17559, 17861, 18044, 18748","662, 2168, 5184, 6804, 7670, 8606, 8751, 9495, 10371, 10879, 12763, 14290, 15089, 15829, 15834, 15996, 16567, 16744, 17151, 17369, 17720, 18134, 18341","289, 2176, 2303, 2545, 2646, 2786, 3051, 3548, 3882, 4391, 4488, 4635, 4733, 4778, 5178, 5792, 5915, 6483, 6668, 6771, 7068, 7298, 7301, 8215, 8447, 9225, 9360, 9390, 9510, 10055, 10567, 10931, 11111, 11406, 11555, 11771, 12103, 12424, 12674, 13634, 13906, 14200, 14203, 15262, 15836, 15872, 16194, 16494, 17178, 17331, 17468, 17658, 17918, 17938, 18342, 18354, 18716, 18863, 18872, 18937","10567","None"
23,"95, 235, 737, 1123, 1284, 1380, 1741, 2254, 3083, 4099, 4781, 6275, 6311, 6924, 7568, 8174, 8228, 9203, 10355, 10631, 12353, 12612, 13419, 13550, 14282, 14477, 14843, 15613, 15832, 16118, 16800, 17713, 17939, 18079, 18372, 18856","1124, 1451, 1764, 4919, 6335, 7492, 8601, 9011, 9128, 9595, 10414, 10833, 11076, 11188, 11191, 11470, 12119, 12520, 12581, 12775, 13245, 13625, 13674, 14551, 15962, 16360, 18536","1623, 1976, 6023, 7145, 7441, 7568, 8004, 8577, 9710, 11684, 11999, 12520, 12986, 13459, 13772, 14009, 14685, 17418, 17541, 17962, 17976","7568","12520"
24,"547, 1812, 2762, 3169, 4122, 4291, 4389, 5303, 5669, 6034, 6133, 7157, 8771, 9249, 10489, 11037, 11338, 11982, 13308, 13431, 13438, 13602, 14065, 14114, 14776, 17197, 17767","77, 743, 2650, 3286, 3610, 3798, 4165, 6962, 7009, 9452, 9566, 9751, 10014, 10569, 10574, 10966, 11135, 11909, 12566, 13385, 13515, 14386, 15069, 16101, 17630, 18252, 18682","77, 556, 2173, 2188, 2680, 3369, 3420, 3761, 3762, 3842, 3850, 4518, 5550, 6354, 6395, 6420, 7448, 7611, 7713, 7855, 7960, 8378, 8694, 9075, 9348, 9555, 10084, 10476, 10569, 10686, 11236, 11907, 12168, 12738, 12787, 12973, 13289, 13421, 13475, 13508, 13628, 13793, 14209, 14249, 14450, 14776, 14854, 16346, 16435, 17182, 17539","14776","77, 10569"
25,"196, 1040, 1394, 2071, 2115, 3718, 4067, 4768, 4940, 6429, 6815, 6926, 7240, 7382, 7623, 7679, 7762, 7850, 8241, 8721, 8789, 9439, 9484, 9764, 9794, 10103, 10234, 10450, 10662, 11005, 11537, 12413, 12584, 13523, 14125, 14723, 15613, 15765, 15816, 16294, 16611, 17155, 18324, 18346, 18805","612, 1666, 2582, 2598, 4304, 4636, 5018, 5646, 5736, 5754, 6042, 6682, 6802, 8444, 8907, 9172, 9275, 9968, 12276, 12448, 12460, 12868, 12947, 13000, 15161, 17599, 17843, 18666, 18752","463, 909, 2650, 3218, 3538, 4014, 5093, 5291, 10103, 11187, 11208, 12460, 12575, 13694, 16829, 18193","10103","2650, 12460"
26,"978, 1154, 2473, 2631, 3022, 3251, 3307, 4598, 4767, 5885, 6377, 6537, 7277, 7492, 7939, 8328, 9019, 9108, 9720, 10296, 10602, 10679, 10700, 10844, 11286, 11374, 11437, 11694, 11824, 11970, 11990, 12349, 12412, 12704, 12776, 12837, 13080, 14268, 14366, 14787, 15436, 15953, 16075, 16674, 17364, 17442, 18598, 18641","264, 1708, 2138, 2391, 2841, 3376, 3607, 4031, 4558, 5422, 5807, 6200, 6321, 6452, 6629, 6689, 7079, 7220, 7341, 7669, 7919, 8092, 8279, 8324, 8518, 9771, 10013, 10365, 10371, 10529, 10785, 11324, 11715, 11856, 11895, 12121, 12765, 12973, 13399, 15210, 15451, 15837, 16252, 18876","1356, 3307","3307","None"
27,"226, 575, 1106, 1175, 4033, 4445, 5656, 7525, 7953, 8474, 8942, 9577, 9749, 9763, 9880, 10036, 10787, 11125, 11505, 12634, 12818, 13256, 13287, 13555, 15428, 16315, 16384, 16677, 16837, 17950, 18103, 18119, 18251, 18339, 18395, 18750","673, 754, 1109, 1424, 1552, 1654, 1882, 2207, 2287, 2375, 2664, 3218, 3817, 3960, 4001, 4027, 4066, 4289, 4585, 4657, 5011, 5271, 5496, 5871, 8527, 9144, 9462, 10886, 11424, 12212, 12628, 13839, 14437, 14518, 14609, 14768, 15281, 15367, 15789, 15812, 16287, 16673, 16992, 18355, 18542","1480, 3218, 3776, 4053, 6020, 6707, 7365, 9577, 11861, 15669, 15812, 16129, 16677, 18714","9577, 16677","3218, 15812"
